Time,E1,E2,E3,E4,E5,E6,E7
0.3167,-14.7,-5.8,-4.3,-42.2,-6.5,-26.1,-20.2
0.32,-19.5,-7.8,-4,-39.6,-6.8,-25.2,-20.6
0.3233,-19.1,-10.9,-4.9,-37.5,-8.3,-25.8,-21.9
0.3267,-15.6,-13.5,-6.1,-36.7,-9.5,-27.3,-23.4
0.33,-13.4,-14.4,-6.9,-37.7,-9.6,-28.2,-23.7
0.3333,-15.1,-12.8,-7,-39.8,-8.2,-27,-21.6
0.3367,-19.4,-9.4,-6.5,-41.5,-5.9,-23.5,-16.9
0.34,-22.9,-5.7,-5.8,-41.3,-3.3,-18.7,-10.9
0.3433,-23.5,-3.3,-5.3,-38.6,-1.1,-14.7,-5.6
0.3467,-22,-3.5,-5.5,-34.8,0.5,-12.8,-2.6
0.35,-21.1,-6.2,-7.3,-32,1.2,-13.3,-2.8
0.3533,-22.9,-10.1,-10.6,-32,1.1,-15.4,-5.8
0.3567,-26.2,-13.3,-14.6,-34.4,-0.5,-18.6,-10.4
0.36,-27.5,-14.1,-17.7,-37,-4,-22.7,-14.8
0.3633,-23.9,-12.1,-18.3,-37.6,-8.8,-27.5,-17
0.3667,-15.8,-7.9,-15.8,-35.6,-13.3,-31.3,-15.8
0.37,-6.9,-3.2,-11.7,-32.5,-15,-31.9,-11.2
0.3733,-1.9,-0.3,-8.4,-30.5,-13,-28.2,-5.3
0.3767,-2.8,-0.5,-8.3,-30.7,-8.3,-21.8,-1.5
0.38,-8,-3.9,-11.6,-31.9,-4.1,-16.8,-2.5
0.3833,-13.6,-9,-16.4,-32,-3.2,-16.4,-7.8
0.3867,-15.9,-13.4,-19.4,-29.4,-5.8,-20.9,-14
0.39,-13.8,-14.6,-18,-24.5,-9.6,-26.3,-16.4
0.3933,-8.7,-12.1,-12.5,-19.1,-11.3,-28.1,-12.4
0.3967,-3,-7.1,-5.8,-15.3,-9.1,-24.1,-3.4
0.4,1.4,-2.5,-1.8,-14.2,-4.5,-16.6,5.6
0.4033,3.1,-0.6,-2.6,-15.5,-0.7,-10.5,9.5
0.4067,2,-2.1,-7.3,-18.2,0,-9.2,6.7
0.41,-1.5,-5.7,-12.7,-20.7,-2.3,-12.5,0.3
0.4133,-6,-9.2,-15.8,-22.1,-5.6,-17.4,-4.9
0.4167,-9.4,-11.3,-15.9,-22.3,-7.8,-20.6,-5.4
0.42,-10.3,-12.2,-15,-21.9,-8.5,-21.3,-1.9
0.4233,-8.6,-13.6,-15.4,-21.5,-8.4,-21,1.7
0.4267,-6.4,-16.9,-18,-21.5,-8.8,-21.8,1.4
0.43,-5.7,-21.8,-21.1,-21.6,-10.1,-24.4,-3.7
0.4333,-6.6,-26.4,-22,-21.3,-12.2,-28,-11
0.4367,-6.8,-28,-19.2,-20.2,-14.6,-31.2,-15.9
0.44,-3.6,-25.1,-14.2,-18.4,-16.9,-33,-15.8
0.4433,3.2,-18.5,-9.6,-16.3,-17.9,-33,-11.2
0.4467,10,-11,-7.8,-14.4,-16.5,-30.9,-5.4
0.45,11.9,-5.9,-9,-12.9,-12.2,-27.2,-1.7
0.4533,7,-4.5,-11.3,-11.4,-6.3,-23.1,-1.5
0.4567,-1.3,-5.8,-12.6,-9.7,-1.8,-20.6,-3.4
0.46,-6.7,-7.1,-11.6,-7.8,-1,-21,-4.8
0.4633,-4.6,-6.2,-9.1,-6.2,-3.8,-23.6,-4
0.4667,3.3,-3,-6.4,-5.4,-7.3,-26,-1.3
0.47,10.5,0.5,-4.3,-5.6,-8.3,-25.8,1.4
0.4733,11.2,2,-3,-5.8,-6,-23,2.4
0.4767,5,0.8,-1.8,-5.1,-3,-20.1,1.2
0.48,-2.3,-1.4,-0.6,-3.7,-2.6,-20,-0.8
0.4833,-4,-2.3,-0.2,-3.1,-5.9,-23.4,-1.7
0.4867,1.4,-0.8,-1.7,-5.2,-10.7,-27.6,-0.6
0.49,8.7,1.3,-5.4,-10.7,-12.8,-29.2,1.7
0.4933,10.1,1.1,-10.7,-17.3,-10.4,-26.8,3.4
0.4967,2.1,-3.4,-15.8,-21.6,-5.3,-22.6,2.8
0.5,-11.4,-10.9,-18.8,-21.2,-1.2,-20.1,0.2
0.5033,-21.8,-17.7,-18.7,-16.8,-0.7,-20.8,-2.7
0.5067,-22.7,-20,-15.9,-11.5,-2.9,-22.9,-3
0.51,-14.4,-16.8,-11.7,-8.3,-4.9,-22.9,0.7
0.5133,-3.7,-10.8,-7.4,-8.3,-4.7,-19.6,7.5
0.5167,2.4,-6,-4.5,-10.1,-3.2,-15.3,14.1
0.52,0.9,-5.3,-3.9,-11.5,-2.6,-14,16.8
0.5233,-5.2,-8.2,-5.7,-11.7,-4.3,-17.6,14.4
0.5267,-10.7,-11.7,-8.8,-11.5,-6.8,-23.7,8.7
0.53,-12.2,-12.8,-11.2,-12.2,-7.3,-27.2,3.9
0.5333,-9.6,-10.3,-10.8,-13.7,-4.6,-25.1,3.7
0.5367,-5.1,-5.3,-7,-14.5,-0.3,-18.8,9
0.54,-0.5,-0.2,-1.5,-12.7,2.2,-13.3,16.7
0.5433,3.4,2.9,2.3,-8.3,0.9,-13,22
0.5467,6.2,3.7,1.7,-3.6,-2.9,-17.7,21.9
0.55,6.8,2.6,-3.2,-1.6,-5.7,-23.3,16.7
0.5533,4,0.6,-8.9,-3.6,-5.1,-25.6,9.8
0.5567,-2,-1.8,-11.3,-8.3,-1.9,-23.8,4.6
0.56,-8.8,-4.6,-8.9,-12.6,0.6,-21,2
0.5633,-12.7,-7.5,-4.1,-14.3,-0.5,-21.4,0.4
0.5667,-11.7,-10.4,-1.3,-13.4,-5.1,-25.9,-2.4
0.57,-7.1,-12.7,-3.2,-12.1,-9.7,-31.1,-6.5
0.5733,-2.6,-14,-8.8,-12.2,-10.8,-32.2,-9.8
0.5767,-1.5,-14.2,-14,-14,-6.7,-27.3,-9.9
0.58,-3.9,-13.5,-15.5,-15.8,0.3,-19.5,-6.3
0.5833,-6.9,-12.1,-13.3,-16.1,6.5,-14.4,-1.6
0.5867,-6.7,-10.2,-10.8,-14.9,9.1,-15.7,0.9
0.59,-1.8,-7.8,-11.2,-13.5,7.9,-22,-0.4
0.5933,6.1,-5.3,-14.6,-13.4,5.2,-28,-3.8
0.5967,13,-2.8,-18.1,-14.7,3.3,-28.9,-6
0.6,15.1,-0.8,-18.2,-16.2,3,-24.4,-5
0.6033,11.7,0.3,-13.8,-16.6,2.7,-19.2,-1.9
0.6067,5,0.6,-7.4,-15.7,0.6,-18.6,0.3
0.61,-1.3,0.6,-2.8,-14.7,-4,-24.3,-0.4
0.6133,-4,1,-2.1,-14.7,-8.9,-32.7,-3.3
0.6167,-2.5,2.2,-4.2,-16.1,-11.2,-37.6,-5.7
0.62,0.7,4.1,-6.5,-18,-9.1,-35.3,-5.4
0.6233,2.1,5.7,-6.9,-19,-3.8,-27.9,-3.2
0.6267,-1,6,-6,-18.4,1.1,-21.3,-1.8
0.63,-7.7,4.9,-5.5,-16.9,2.3,-20.4,-3.3
0.6333,-14,3.4,-6.6,-16.1,-0.4,-24.9,-6.4
0.6367,-15.4,3.2,-8.4,-16.9,-4.1,-29.6,-7.5
0.64,-9.8,5.3,-8.6,-18.3,-5.1,-29.2,-3.7
0.6433,0,8.6,-5.9,-18.4,-2.1,-22.4,4.3
0.6467,8.6,11.1,-1.2,-16,2.5,-13.6,12
0.65,11,10.8,2.7,-11.9,4.5,-9.2,14.9
0.6533,6.4,7.8,3.4,-8.9,1.6,-12.3,12.1
0.6567,-1.4,4.3,0.6,-9.3,-4.6,-20.1,7.1
0.66,-7,2.7,-3.4,-12.8,-9.6,-26.3,5.3
0.6633,-7,4.4,-5.4,-16.5,-9.6,-25.7,9.2
0.6667,-2.3,8,-3.9,-17.2,-4.8,-18.4,16.7
0.67,3.6,11.1,0.4,-13.8,0.6,-9.5,22.9
0.6733,7.1,11.9,4.9,-8.8,2.4,-4.4,24
0.6767,7.7,10.9,7,-5.9,-0.4,-5.4,20
0.68,7.3,9.5,6.2,-7.4,-4.5,-9.4,14.4
0.6833,8.5,8.9,3.6,-12.3,-4.8,-11.2,11.2
0.6867,12.2,8.6,1,-17,0.7,-7.9,11.7
0.69,16.7,7.3,-0.6,-18.4,9.3,-1.3,13.7
0.6933,19.3,3.9,-1.3,-16,15,3,14
0.6967,18.2,-0.6,-2.1,-11.9,13.7,0.6,10.9
0.7,13.9,-3.7,-3.5,-9,6.2,-8.2,5.5
0.7033,8.7,-3.7,-5.4,-9,-2.1,-18.3,0.9
0.7067,4.8,-1.2,-7,-11.3,-5.3,-23.2,-1.1
0.71,3.2,1.2,-7.9,-14.1,-1.8,-20.2,-0.6
0.7133,3.5,0.8,-8.2,-16,5.1,-12.1,0.1
0.7167,4.1,-3,-8.4,-16.8,9.8,-4.9,-0.5
0.72,4.1,-8.2,-8.6,-16.9,9.5,-3,-2.4
0.7233,3.8,-11.5,-8.8,-17,5.8,-6.3,-3.7
0.7267,4.5,-11.3,-8.7,-16.8,2.4,-11.4,-3
0.73,7.1,-8.7,-8.7,-16.4,1.4,-15.3,-1.2
0.7333,11.3,-6.7,-9.8,-15.9,1.4,-18,-0.8
0.7367,15.3,-7.6,-12.5,-15.9,-0.7,-21.6,-4.1
0.74,17.3,-11,-16.4,-16.2,-6.3,-27,-10.4
0.7433,17.1,-13.9,-19.3,-15.9,-12.4,-31.6,-16
0.7467,16.2,-13.1,-19,-14.1,-14.8,-31.8,-17.2
0.75,16.4,-7.9,-14.7,-10.8,-11.2,-26.5,-13
